,,,,,,Type,,Date,,Num,,Name,,Memo,,Class,,Clr,,Split,,Amount,,Balance
,,,,,,Bill,,08/11/2025,,INV# 2003 Patterson,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 2003 Patterson Pavillion B,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,"18,475.93",,"127,063.28"
,,,,,,Bill,,08/13/2025,,INV# 1437 PO# 1451,,INTEGRAL EMERGENCY SOLUTIONS,,INV# 1437 PO# 1451,,,,,,Accounts Payable,,,,"127,063.28"
,,,,,,Bill,,08/14/2025,,Electricity service,,Signature Design Plans Corp.,,Electricity service,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,600.00,,"127,663.28"
,,,,,,Bill,,08/14/2025,,Electricity service,,Signature Design Plans Corp.,,Plumbing service,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,600.00,,"128,263.28"
,,,,,,Bill,,08/18/2025,,INV# 2004 Patterson,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 2004 Patterson Pavillion B,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,"18,475.93",,"146,739.21"
,,,,,,Bill,,08/21/2025,,INV# 88,,"171 EMERGENCIA, INC.",,INV# 88,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,720.00,,"147,459.21"
,,,,,,Bill,,08/25/2025,,INV# 1443 PO# 1443,,INTEGRAL EMERGENCY SOLUTIONS,,INV# 1443 PO# 1443,,,,,,Accounts Payable,,,,"147,459.21"
,,,,,,Bill,,08/26/2025,,INV# 89,,"171 EMERGENCIA, INC.",,INV# 89,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,"9,977.00",,"157,436.21"
,,,,,,Bill,,08/27/2025,,INV# 2005 Patterson,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 2005 Patterson Pavillion B,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,"18,475.93",,"175,912.14"
,,,,,,Bill,,09/01/2025,,INV# 2006 Patterson,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 2006 Patterson Pavillion B,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,"18,475.93",,"194,388.07"
,,,,,,Bill,,09/03/2025,,INV# 1444 PO# 1461,,INTEGRAL EMERGENCY SOLUTIONS,,INV# 1444 PO# 1461,,,,,,Accounts Payable,,,,"194,388.07"
,,,,,,Bill,,09/04/2025,,INV# 1450,,INTEGRAL EMERGENCY SOLUTIONS,,INV# 1450 Cost of Construction,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,770.00,,"195,158.07"
,,,,,,Bill,,09/08/2025,,INV# 2007 Patterson,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 2007 Patterson Pavillion B,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,"18,475.93",,"213,634.00"
,,,,,,Bill,,09/08/2025,,AUG/09 - SEP/08/2025,,BANK OF AMERICA CC# 2959,,Amazon.com,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,13.86,,"213,647.86"
,,,,,,Bill,,09/08/2025,,AUG/09 - SEP/08/2025,,BANK OF AMERICA CC# 2959,,Amazon.com,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,46.16,,"213,694.02"
,,,,,,Bill,,09/08/2025,,AUG/09 - SEP/08/2025,,BANK OF AMERICA CC# 2959,,Amazon.com,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,14.99,,"213,709.01"
,,,,,,Bill,,09/09/2025,,INV# 1446 PO# 1466,,INTEGRAL EMERGENCY SOLUTIONS,,INV# 1446 PO# 1466,,,,,,Accounts Payable,,,,"213,709.01"
,,,,,,Bill,,09/09/2025,,INV# 1445 PO# 1458,,INTEGRAL EMERGENCY SOLUTIONS,,INV# 1445 PO# 1458,,,,,,Accounts Payable,,,,"213,709.01"
,,,,,,Bill,,09/10/2025,,INV# 1448 PO# 1468,,INTEGRAL EMERGENCY SOLUTIONS,,INV# 1448 PO# 1468,,,,,,Accounts Payable,,,,"213,709.01"
,,,,,,Bill,,09/11/2025,,HHA-Patterson,,Elias Bracho,,HHA-Patterson,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,120.00,,"213,829.01"
,,,,,,Bill,,09/11/2025,,INV# 1451,,INTEGRAL EMERGENCY SOLUTIONS,,INV# 1451,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,770.00,,"214,599.01"
,,,,,,Bill,,09/15/2025,,INV# 00062,,"Full Uniwell, LLC",,INV# 00062 (commissions Patterson Pavillion B),,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,"2,272.36",,"216,871.37"
,,,,,,Bill,,09/15/2025,,INV# 2008 Patterson,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 2008 Patterson Pavillion B,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,"18,475.93",,"235,347.30"
,,,,,,Bill,,09/18/2025,,INV# 1452,,INTEGRAL EMERGENCY SOLUTIONS,,INV# 1452,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,770.00,,"236,117.30"
,,,,,,Bill,,09/22/2025,,INV# 2009 Patterson,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 2009 Patterson Pavillion B,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,"18,475.93",,"254,593.23"
,,,,,,Bill,,09/26/2025,,INV# 1453,,INTEGRAL EMERGENCY SOLUTIONS,,INV# 1453,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,770.00,,"255,363.23"
,,,,,,Bill,,09/26/2025,,Gas refund,,GAS,,HHA-Patterson Pavillion B,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,15.23,,"255,378.46"
,,,,,,Bill,,09/26/2025,,INV# 90,,"171 EMERGENCIA, INC.",,INV# 90,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,"10,770.00",,"266,148.46"
,,,,,,Bill,,09/29/2025,,INV# 2010 Patterson,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 2010 Patterson Pavillion B,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,"14,355.93",,"280,504.39"
,,,,,,Bill,,09/29/2025,,INV# 00084621,,CITY OF HIALEAH,,INV# 00084621 (Electric Permit),,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,337.50,,"280,841.89"
,,,,,,Bill,,09/30/2025,,INV# 00084545,,CITY OF HIALEAH,,INV# 00084545 (Plumbing Permit),,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,"1,858.10",,"282,699.99"
,,,,,,Bill,,09/30/2025,,September/2025,,First Horizon CC,,Hialeah Comm. Dev.,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,100.00,,"282,799.99"
,,,,,,Bill,,10/06/2025,,INV# 2011 Patterson,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 2011 Patterson Pavillion B,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,"18,475.90",,"301,275.89"
,,,,,,Bill,,10/10/2025,,INV# 00065,,"Full Uniwell, LLC",,INV# 00065 (commissions Patterson Pavillion B # 1),,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,"2,232.36",,"303,508.25"
,,,Total HHA-Patterson Pavillion B,,,,,,,,,,,,,,,,,,,"303,508.25",,"303,508.25"
,,Total Assets Cost and Est. Earnings,,,,,,,,,,,,,,,,,,,,"303,508.25",,"303,508.25"
,Total Other Current Asset,,,,,,,,,,,,,,,,,,,,,"303,508.25",,"303,508.25"
TOTAL,,,,,,,,,,,,,,,,,,,,,,"303,508.25",,"303,508.25"
,,,,,,,,,,,,,,,,,,,,,,,,
